file_name,email,password
credentials1.csv,peter.griffin@familyguy.com,pawtucketPat
credentials1.csv,lois.griffin@familyguy.com,redhead123
credentials1.csv,homer.simpson@thesimpsons.com,doh123
credentials1.csv,bart.simpson@thesimpsons.com,eatMyShorts!
credentials1.csv,morty.smith@rickandmorty.com,ohGeez!
credentials1.csv,rick.sanchez@rickandmorty.com,wubalubadubdub
credentials1.csv,megamind@blueheroes.com,noYou123
credentials1.csv,chris.griffin@familyguy.com,teenager321
credentials1.csv,meg.griffin@familyguy.com,unseen!123
credentials1.csv,lisa.simpson@thesimpsons.com,smartGirl
credentials1.csv,unknown@unknown.com,qwerty
credentials1.csv,larry.page@google.com,searchME!
credentials1.csv,john.smith@common.com,commonPwd
credentials1.csv,marge.simpson@thesimpsons.com,tallhair!
credentials1.csv,steve.smith@americanDad.com,nerdAlert
credentials2.json,cinderella@disney.com,cinderella123
credentials2.json,ariel@disney.com,ariel123
credentials2.json,belle@disney.com,belle123
credentials2.json,jasmine@disney.com,jasmine123
credentials2.json,mulan@disney.com,mulan123
credentials2.json,tiana@disney.com,tiana123
credentials2.json,rapunzel@disney.com,rapunzel123
credentials2.json,anna@disney.com,anna123
